name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paweł C.,1670,9,Jak sprzedawać dragi w sieci (szybko),8,Samce Alfa,9,Lucyfer,3,Niebieskooki Samuraj,9,Barbarzyńcy,9,Para Idealna,7,Rojst,8,Polowanie na Czerwony Październik,10,7,10,The Big Bang Theory,8,Braveheart,10,The Expanse,7,Miasteczko South Park,9,Kraina Lodu,5,Dziennik Bridget Jones,6,Kapitan Ameryka: Wojna Bohaterów,3,Avengers: Czas Ultrona,2,Terminator 2,9,Planeta Singli,7,Listy do M.,7,Listy do M. 2,2,Forrest Gump,10,Ex Machina,10,Gran Torino,9,Cicha Noc,1,Battleship: Bitwa o Ziemię,1,Narodziny Gwiazdy,2,Kapitan Phillips,9,Grand Budapest Hotel,9,Wyjazd integracyjny,1,John Wick,7,Narcos,10,Terminal,8,Ona,8,Whiplash,10,Diabeł ubiera się u Prady,9,La Casa De Papel,8,Peaky Blinders,9,Contratiempo,9,La Cara Oculta,10
Dawid F.,Spirited Away,10,Gladiator,8,Władca Pierścieni,10,Made in Abyss,10,W pogoni za szczęściem,10,Stonoga,1,Listy do M.,4,Harry Potter,9,The Big Bang Theory,8,Planeta Singli,1,Forrest Gump,9,Kraina Lodu,8,Braveheart,7,Przyjaciele,8,Game of Thrones,6,Ojciec Chrzestny,7,Zielona Mila,8,Pulp Fiction,7,Dwunastu Gniewnych Ludzi,7,Joker,9,Incepcja,6,Gotowe na Wszystko,3,Gwiezdne Wojny,7,Tylko Mnie Kochaj,3,Kac Wawa,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylwia J.,1096 dni,10,Chernobyl,9,Euphoria,10,Brooklyn 99,8,Game of Thrones,10,Alice in Borderland,10,Hazbin Hotel,9,From,8,Black Bird,7,Venom,8,Igrzyska Śmierci,8,Kraina Lodu,9,K-On,4,365 dni,2,You,2,Wyjazd integracyjny,1,Slender Man,2,Split,9,Obecność,9,Hellraiser,8,Annabelle,4,American Horror Story,10,Piła,10,Handmaid's Tale,8,Queen's Gambit,10,Mr. Robot,8,Fate,2,Ratched,7,Loki,9,Gravity Falls,8,Breaking Bad,10,Orange Is the New Black,3,Black Mirror,10,Bridgerton,7,Blood & Water,3,Murder Drones,9,The Digital Circus,10,Sting,7,Whiplash,10,Diabeł ubiera się u Prady,9,La Casa De Papel,3
Dominik H.,Game of Thrones,9,Breaking Bad,10,Fight Club,7,Dr. Stone,9,Invincible,5,Rick and Morty,9,Bojack Horseman,10,Dexter,4,Doctor Who,1,Narcos,6,Wikingowie,10,Kraina Lodu,8,House of Cards,7,Monster,9,Durarara,8,Stranger Things,7,Black Mirror,10,Deadpool,6,Prison Break,8,13 powodów,1,Oppenheimer,8,Władca Pierścieni,9,Made in Abyss,10,Barbie,3,Chłopiec i Czapla,5,Ruchomy Zamek Hauru,4,Dinner in America,9,Shutter Island,9,Spirited Away,8,Ród Smoka,2,Devilman Crybaby,9,,,,,,,,,,,,,,,,,,,,
Arkadiusz K.,Breaking Bad,10,Harry Potter wszystkie części,10,Siedem,8,Fight Club,10,Peaky Blinders,10,Arcane,8,Venom,6,Lucyfer,6,Dexter,10,Historia Lyle'a i Erika Mendezów,3,Cobra Kai,7,Skazani na Shawshank,10,Prison Break,7,Game of Thrones,4,Split,8,Szybcy i Wściekli,7,Deadpool,10,Czarna Lista,6,Forrest Gump,9,Nietykalni,8,Oppenheimer,10,Diuna,6,Joker,10,Boże Ciało,6,Sherlock,7,W głowie się nie mieści,8,Mr. Robot,7,The 100,6,Czarne Lustro,7,Better Call Saul,10,Dark,7,The Boys,7,Gambit Królowej,9,La Casa De Papel,5,Mindhunter,6,Punisher,6,The Walking Dead,4,Luther,6,Big Mouth,3,Wielka Woda,6,You,4
Filip L.,Peaky Blinders,10,Game of Thrones,9,Kac Vegas,9,Breaking Bad,10,Batman: The Dark Knight,8,Lot,8,Legenda Aanga,9,Arcane,6,Irlandczyk,8,Obecność,7,Ouija,2,Slender Man,1,Jacob's Ladder,1,The Darkness,3,Tyler Rake,4,Szybcy i Wściekli,8,Cyberpunk,7,Narcos,10,Annabelle,4,Bad Boys,7,La Casa De Papel,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomasz W.,Monster,10,Cowboy Bebop,7,Jak Wytresować Smoka,9,Władca Pierścieni,10,Jak Poznałem Waszą Matkę,9,Arcane,8,Iniemamocni,9,Napoleon Wybuchowiec,10,Kingsman,8,Naznaczony,9,Deadpool,9,Dom Zły,8,Boso przez Świat,3,Podróże Kulinarne Roberta Makłowicza,10,Dan da Dan,9,Joker: Folie à Deux,10,Joker,10,Batman (2022),9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel P.,Kapitan Bomba,10,Breaking Bad,10,Interstellar,10,Suits,8,Lucyfer,7,Straight Outta Compton,10,Borderlands,3,1670,9,Family Guy,10,Brickleberry,10,Ahsoka,7,Forrest Gump,9,John Wick,8,Narcos,10,365 dni,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michał K.,Terminator 2,10,Peaky Blinders,10,La Casa De Papel,9,Ex Machina,8,John Wick,9,Szybcy i Wściekli,10,1670,10,Oppenheimer,6,Kac Vegas,4,Pitbull,2,Kobiety Mafii,1,365 dni,2,Listy do M.,3,Bullet Train,4,Igrzyska Śmierci,9,Nietykalni,7,American Pie,9,Shrek,10,Focus,7,Sherlock Holmes,8,13 powodów,2,Piła,4,The 100,7,The Boys,9,Punisher,8,The Walking Dead,8,Eternals,1,Tenet,2,Liga Sprawiedliwości,4,Nie Otwieraj Oczu,2,Londyn w Ogniu,8,Mechanik,9,Niezniszczalni,8,Loki,3,Węże w Samolocie,2,Anioły i Demony,9,Kod Leonarda Da Vinci,9,,,,,,,,
Antoni K.,Whiplash,10,Dziennik Bridget Jones,1,Samurai Champloo,10,Spider-Man: Across the Spider-Verse,10,Pulp Fiction,10,Once Upon a Time... in Hollywood,10,Kill Bill,10,Trainspotting,10,Fight Club,10,Powrót do Przyszłości,8,WALL-E,9,Oczy Szeroko Zamknięte,8,Grindhouse: Death Proof,10,Nienawistna Ósemka,8,Django,10,Igrzyska Śmierci,6,Boże Ciało,8,Ślepnąc od Świateł,8,Hobbit,7,Władca Pierścieni,6,Cowboy Bebop,9,Podróże Kulinarne Roberta Makłowicza,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulina D.,Anioły i Demony,9,Kod Leonarda Da Vinci,8,Plotkara,7,1670,9,Igrzyska Śmierci,8,Władca Pierścieni,5,Diuna,6,Listy do M.,2,Grawitacja,8,Wredne Dziewczyny,8,Interstellar,8,WALL-E,10,Infamia,7,Behawiorysta,7,Szybcy i Wściekli,3,Teściowie,9,Stamtąd,7,Selling Sunset,8,Dexter,7,Rancho,9,13 powodów,2,Żmijowisko,6,Stranger Things,7,Zachowaj Spokój,7,Dark,6,The Walking Dead,4,The 100,4,Wednesday,4,Pacyfik,3,Snowpiercer,5,Jurassic World,3,Glass Onion,7,Pitbull,3,Incepcja,6,Paradise,7,Trauma,5,Gambit Królowej,7,Turbulencje,6,You,7,Bridgerton,8,Młody Sheldon,7
Krystian J.,Game of Thrones,9,Peaky Blinders,7,Kac Vegas,9,Fight Club,10,1670,10,Bojack Horseman,6,Morbius,2,John Wick,4,Ex Machina,9,Breaking Bad,4,Deadpool,7,Whiplash,6,Bullet Train,5,Knives Out,6,Palm Springs,9,Superbad,6,Stranger Things,4,Nietykalni,7,Avengers: Czas Ultrona,8,13 powodów,6,Blade Runner 2049,8,Prison Break,7,Kingsman,4,Igrzyska Śmierci,8,Chronicle,7,The 100,5,Batman: The Dark Knight,8,Mr. Robot,2,Loki,7,Diuna,10,La Casa De Papel,8,The Boys,10,Gambit Królowej,7,Oppenheimer,5,Slender Man,8,Jak Wytresować Smoka,8,Władca Pierścieni,6,Punisher,5,Manchester by the Sea,5,The Unbearable Weight of Massive Talent,1,You,9
Sebastian K.,Idiokracja,10,Marsjanin,8,Na Skraju Jutra,8,Twórca,8,Szybcy i Wściekli,4,Deadpool,9,Kingsman,8,Naga Broń,9,Listy do M.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
